Grand Paris zone
Yves du Manoir Stadium,Field hockey,15000,Renovated
Stade de France,Rugby sevens,77083,Existing
Stade de France,Athletics (track and field),77083,Existing
Stade de France,Closing ceremony,77083,Existing
Paris La Défense Arena,"Aquatics (swimming, water polo finals)",15220,Existing
Porte de La Chapelle Arena,Badminton,8000,Built for the Games
Porte de La Chapelle Arena,Gymnastics (rhythmic),8000,Built for the Games
Paris Aquatic Centre[27][28],"Aquatics (water polo preliminaries, diving, artistic swimming)",5000,Built for the Games
Le Bourget Climbing Venue,Sport climbing,5000,Temporary
Arena Paris Nord,"Boxing (preliminaries, quarter-finals)",6000,Existing
Arena Paris Nord,Modern pentathlon (fencing),6000,Existing
Paris Centre zone
Parc des Princes,"Football (group stage, quarter-finals and gold medal matches)",48583,Existing
Stade Roland Garros[29],Tennis,"36,000 (15,000 + 12,000 + 9,000)",Existing
Stade Roland Garros[29],Boxing (finals),"36,000 (15,000 + 12,000 + 9,000)",Existing
Paris Expo Porte de Versailles,Volleyball,"18,000 (12,000 + 12,000)",Existing
Paris Expo Porte de Versailles,Table tennis,"18,000 (12,000 + 12,000)",Existing
Paris Expo Porte de Versailles,Handball (preliminaries),"18,000 (12,000 + 12,000)",Existing
Paris Expo Porte de Versailles,Weightlifting,"18,000 (12,000 + 12,000)",Existing
Bercy Arena,Gymnastics (artistic and trampolining),15000,Existing
Bercy Arena,Basketball (finals),15000,Existing
Grand Palais,Fencing,8000,Existing
Grand Palais,Taekwondo,8000,Existing
Place de la Concorde,Basketball (3x3),"30,000 (overall)",Temporary
Place de la Concorde,Breaking,"30,000 (overall)",Temporary
Place de la Concorde,Cycling (BMX freestyle),"30,000 (overall)",Temporary
Place de la Concorde,Skateboarding,"30,000 (overall)",Temporary
Hôtel de Ville,Athletics (marathon start),1500,Temporary
Pont Alexandre III,Aquatics (marathon swimming),1500,Temporary
Pont Alexandre III,Triathlon,1500,Temporary
Pont Alexandre III,Cycling (time trial finish),1500,Temporary
Trocadéro (Pont d'Iéna),Athletics (race walk),"13,000 (3,000 sitting)",Temporary
Trocadéro (Pont d'Iéna),Cycling (road race),"13,000 (3,000 sitting)",Temporary
Eiffel Tower Stadium (Champ de Mars),Beach volleyball,12000,Temporary
Grand Palais Éphémère,Judo,9000,Temporary
Grand Palais Éphémère,Wrestling,9000,Temporary
Les Invalides,Archery,8000,Temporary
Les Invalides,Athletics (marathon finish),8000,Temporary
Les Invalides,Cycling (time trial start),8000,Temporary
Versailles zone
Gardens of the Palace of Versailles,Equestrian,"80,000 (22,000 + 58,000)",Temporary
Gardens of the Palace of Versailles,Modern pentathlon (excluding fencing rounds),"80,000 (22,000 + 58,000)",Temporary
Le Golf National,Golf,35000,Existing
Élancourt Hill,Cycling (mountain biking),25000,Existing
Vélodrome de Saint-Quentin-en-Yvelines,Cycling (track),5000,Existing
Vélodrome de Saint-Quentin-en-Yvelines,Cycling (BMX racing),5000,Existing
Outlying venues
"Pierre Mauroy Stadium, Lille",Basketball (group stage),26000,Existing
"Pierre Mauroy Stadium, Lille",Handball (finals),26000,Existing
"National Olympic Nautical Stadium of Île-de-France [fr], Vaires-sur-Marne",Rowing,22000,Existing
"National Olympic Nautical Stadium of Île-de-France [fr], Vaires-sur-Marne","Canoeing (slalom, sprint)",22000,Existing
"Stade Vélodrome, Marseille","Football (6 group stage matches, quarter-finals, women's and men's semi-finals)",67394,Existing
"Parc Olympique Lyonnais, Lyon","Football (6 group stage matches, quarter-finals, men's and women's semi-finals, women's bronze medal match)",59186,Existing
"Stade Matmut Atlantique, Bordeaux","Football (6 group stage matches, quarter-finals)",42115,Existing
"Stade Geoffroy-Guichard, Saint-Étienne",Football (6 group stage matches),41965,Existing
"Allianz Riviera, Nice",Football (6 group stage matches),35624,Existing
"Stade de la Beaujoire, Nantes","Football (6 group stage matches, quarter-finals, men's bronze medal match)",35322,Existing
"Roucas Blanc Olympic Marina [fr], Marseille",Sailing,5000,Existing
"Teahupo'o, Tahiti",Surfing,5000,Existing
"National Shooting Centre, Châteauroux",Shooting,3000,Existing
Non-competitive
Jardins du Trocadéro,Opening ceremony,"30,000 / 13,000",Temporary
Jardins du Trocadéro,Champions Park,"30,000 / 13,000",Temporary
The Seine,Opening ceremony,570000,Temporary
Olympic Village,Olympic Village,"18,000 athletes",Built for the Games
"Aranui 5, Tahiti",Surfing Olympic Village,256 athletes,Existing
"Parc de l'Aire des Vents, Dugny",Media Village,—,Temporary
"Le Bourget Exhibition Centre and Media Village [fr], Le Bourget",International Broadcast Centre,15000,Existing
Paris Congress Centre,Main Press Centre,—,Existing
Polygone de Vincennes [fr],Road cycling training venue,—,Existing
Tuileries Garden,Olympic cauldron,—,Temporary
